Id,dominant_topic,topic_prob
128689,4,0.5250000091104047
128815,8,0.5250006251463457
128933,7,0.27500002687337693
129144,2,0.5250000038213498
129507,5,0.36666709887609444
129912,9,0.7749977308937135
130074,7,0.5250000034659612
130262,1,0.36666674843052716
130587,1,0.5249974812305429
130618,7,0.42968995627019446
130763,2,0.5250000017093007
131327,8,0.5250001766284461
131449,1,0.49667575539161746
132058,1,0.5249761040227415
132411,1,0.5249964315473389
132488,2,0.699999999995952
132988,6,0.2750001393378894
133774,2,0.3666666580433117
133860,9,0.7749937878317005
133886,0,0.27500001553066533
134387,1,0.5249760766342481
134626,9,0.7749931873350846
134629,5,0.27500000382367457
134934,8,0.2750001290552368
135035,0,0.5249983545220579
135041,0,0.1
135246,0,0.5249322697089872
135303,6,0.5499999999967142
135664,2,0.3666667118718431
135834,7,0.5249835632017668
136069,2,0.2749999528494349
136097,8,0.6999999999466024
136168,2,0.2750000015703301
136207,0,0.6999999999983942
136734,1,0.2750000693372698
136739,5,0.27500002967442316
136789,1,0.5249962813303688
137580,4,0.3666666701587569
138029,9,0.5499999999976138
138045,8,0.5250000092993924
138250,8,0.7749999999861455
138353,4,0.27500014299087333
138502,3,0.27500004921765464
138521,5,0.6999999999933255
138552,3,0.27500002487005415
138680,0,0.36666668927339824
138851,2,0.36666666702552786
139005,0,0.3666664328834626
139180,7,0.5249999907844514
139212,3,0.5250001450109285
139819,0,0.5499999999835598
140026,0,0.5250000884950322
140182,0,0.5249999735861038
140295,7,0.2750000117757069
140439,4,0.6999515116436847
140758,6,0.2750000584762827
141291,7,0.5249999811641635
141351,4,0.6999515123812897
141432,9,0.2750000154302535
141449,7,0.5499999999606587
141487,5,0.2750000927856955
141545,7,0.7749992612180151
141642,6,0.5249739570035105
141647,0,0.6999999999987543
141802,9,0.36666659732711
141973,9,0.5249867843178528
142545,2,0.3666666703098452
142764,8,0.36666679023606086
142812,2,0.5249999766239005
142844,8,0.36666692526570205
143515,3,0.2750000312054833
143632,7,0.5250002861791466
144201,6,0.27500009215164073
144218,4,0.7749850630693751
144448,8,0.5499999999900365
145155,3,0.524981022132171
145270,5,0.5249753808235352
145607,3,0.36666687865572556
146522,3,0.27500031244410394
146607,9,0.5249963483158918
146789,6,0.275000033859476
147437,9,0.4965503769808118
147507,8,0.5249999715846393
147627,5,0.3666671254151296
147650,5,0.27500011706422245
147713,7,0.5499999999698066
147741,8,0.5249900233485187
147752,3,0.5249698515465604
147816,1,0.2750001486015609
148042,9,0.5249923944388081
148853,9,0.5249949444588322
148963,7,0.5250000076123175
149040,1,0.5249966921835455
149307,9,0.5499919048829907
